zipcode,county_fips,county,sqmi,completed_trips,unaccepted_requests,total_requests,Uber_completed_trips,Uber_unaccepted_requests,Uber_total_requests,Uber_share_completed,Uber_perfect,Lyft_completed_trips,Lyft_unaccepted_requests,Lyft_total_requests,Lyft_share_completed,Lyft_perfect
97635,49,Modoc,52.14797777,0,0,0,0,0,0,0,0,0,0,0,0,0
96101,49,Modoc,596.555109,0,0,0,0,0,0,0,0,0,0,0,0,0
96116,49,Modoc,176.4636429,0,0,0,0,0,0,0,0,0,0,0,0,0
96054,49,Modoc,117.7880255,0,0,0,0,0,0,0,0,0,0,0,0,0
96104,49,Modoc,238.1035859,0,0,0,0,0,0,0,0,0,0,0,0,0
96108,49,Modoc,187.4188132,0,0,0,0,0,0,0,0,0,0,0,0,0
96110,49,Modoc,117.945576,0,0,0,0,0,0,0,0,0,0,0,0,0
96112,49,Modoc,127.5939073,0,0,0,0,0,0,0,0,0,0,0,0,0
96115,49,Modoc,111.9517152,0,0,0,0,0,0,0,0,0,0,0,0,0
96134,49,Modoc,329.4823287,0,0,0,0,0,0,0,0,0,0,0,0,0
96015,49,Modoc,234.1568099,0,0,0,0,0,0,0,0,0,0,0,0,0
95641,67,Sacramento,41.98388058,162,16,178,38,16,54,0.703703704,0,124,0,124,1,1
95680,67,Sacramento,2.328753927,12,2,14,9,2,11,0.818181818,0,3,0,3,1,1
95818,67,Sacramento,3.859370492,203182,1612,204794,84520,1612,86132,0.98128454,0,118662,0,118662,1,1
95822,67,Sacramento,8.39759458,172966,1725,174691,67615,1725,69340,0.975122584,0,105351,0,105351,1,1
95838,67,Sacramento,9.20512817,127027,1526,128553,44438,1526,45964,0.966800104,0,82589,0,82589,1,1
95843,67,Sacramento,6.516908258,79645,1004,80649,32086,1004,33090,0.969658507,0,47559,0,47559,1,1
95693,67,Sacramento,58.6617107,1345,70,1415,742,70,812,0.913793103,0,603,0,603,1,1
95864,67,Sacramento,6.279926455,82107,978,83085,39654,978,40632,0.975930301,0,42453,0,42453,1,1
95670,67,Sacramento,12.91739262,209069,2700,211769,84649,2700,87349,0.969089514,0,124420,0,124420,1,1
95742,67,Sacramento,50.44221281,58627,816,59443,27651,816,28467,0.97133523,0,30976,0,30976,1,1
95632,67,Sacramento,113.2610026,10439,397,10836,4737,397,5134,0.92267238,0,5702,0,5702,1,1
95816,67,Sacramento,2.728551958,359819,3826,363645,151701,3826,155527,0.97539977,0,208118,0,208118,1,1
95833,67,Sacramento,8.088770391,216935,2619,219554,96003,2619,98622,0.973444059,0,120932,0,120932,1,1
95610,67,Sacramento,7.928290479,146475,2028,148503,62980,2028,65008,0.96880384,0,83495,0,83495,1,1
95624,67,Sacramento,45.55272822,129891,1778,131669,55913,1778,57691,0.969180635,0,73978,0,73978,1,1
95811,67,Sacramento,2.316292804,389097,5617,394714,175899,5617,181516,0.96905507,0,213198,0,213198,1,1
95630,67,Sacramento,26.19203422,211794,3629,215423,103299,3629,106928,0.966061275,0,108495,0,108495,1,1
95660,67,Sacramento,6.354710954,119703,1507,121210,43504,1507,45011,0.966519295,0,76199,0,76199,1,1
95828,67,Sacramento,12.40300778,178362,1810,180172,63847,1810,65657,0.97243249,0,114515,0,114515,1,1
95638,67,Sacramento,80.22724741,184,9,193,98,9,107,0.91588785,0,86,0,86,1,1
95819,67,Sacramento,3.606194712,147840,1254,149094,62155,1254,63409,0.980223628,0,85685,0,85685,1,1
95820,67,Sacramento,5.267352295,169519,1573,171092,64743,1573,66316,0.976280234,0,104776,0,104776,1,1
95821,67,Sacramento,7.061906519,193687,2527,196214,76003,2527,78530,0.967821215,0,117684,0,117684,1,1
95608,67,Sacramento,13.2280844,201541,2635,204176,84662,2635,87297,0.969815687,0,116879,0,116879,1,1
95615,67,Sacramento,21.15594553,69,2,71,17,2,19,0.894736842,0,52,0,52,1,1
95626,67,Sacramento,37.69843304,5662,92,5754,2539,92,2631,0.965032307,0,3123,0,3123,1,1
95628,67,Sacramento,12.8916306,103829,1459,105288,48939,1459,50398,0.971050439,0,54890,0,54890,1,1
95639,67,Sacramento,4.633485616,294,3,297,150,3,153,0.980392157,0,144,0,144,1,1
95662,67,Sacramento,10.80647398,64282,1014,65296,28366,1014,29380,0.965486726,0,35916,0,35916,1,1
95690,67,Sacramento,51.59436591,239,33,272,118,33,151,0.781456954,0,121,0,121,1,1
95652,67,Sacramento,3.736907159,19305,205,19510,8558,205,8763,0.976606185,0,10747,0,10747,1,1
95655,67,Sacramento,9.528778755,14916,263,15179,6975,263,7238,0.963663996,0,7941,0,7941,1,1
95673,67,Sacramento,16.25343147,23738,366,24104,10391,366,10757,0.965975644,0,13347,0,13347,1,1
95683,67,Sacramento,86.36109331,993,66,1059,585,66,651,0.898617512,0,408,0,408,1,1
95815,67,Sacramento,7.653088233,247715,2529,250244,100835,2529,103364,0.975533068,0,146880,0,146880,1,1
95823,67,Sacramento,11.47894296,376177,4140,380317,126815,4140,130955,0.968386087,0,249362,0,249362,1,1
95827,67,Sacramento,8.945189777,80609,1122,81731,30303,1122,31425,0.964295943,0,50306,0,50306,1,1
95832,67,Sacramento,8.310720776,40027,443,40470,13308,443,13751,0.967784161,0,26719,0,26719,1,1
95837,67,Sacramento,14.37718303,380852,4910,385762,222071,4910,226981,0.978368233,0,158781,0,158781,1,1
95757,67,Sacramento,64.49736264,80979,853,81832,29715,853,30568,0.972095001,0,51264,0,51264,1,1
95621,67,Sacramento,6.67541402,125423,1700,127123,52164,1700,53864,0.968439032,0,73259,0,73259,1,1
95758,67,Sacramento,13.6237986,171543,1756,173299,68599,1756,70355,0.975040864,0,102944,0,102944,1,1
95814,67,Sacramento,1.396345011,687116,10436,697552,337067,10436,347503,0.969968605,0,350049,0,350049,1,1
95817,67,Sacramento,2.264911231,153769,1137,154906,57740,1137,58877,0.980688554,0,96029,0,96029,1,1
95824,67,Sacramento,3.987875582,105938,1140,107078,36701,1140,37841,0.969873946,0,69237,0,69237,1,1
95825,67,Sacramento,4.655614013,322863,3346,326209,123069,3346,126415,0.973531622,0,199794,0,199794,1,1
95826,67,Sacramento,10.53782084,219005,2422,221427,88176,2422,90598,0.973266518,0,130829,0,130829,1,1
95829,67,Sacramento,20.30827217,50776,616,51392,20711,616,21327,0.971116425,0,30065,0,30065,1,1
95830,67,Sacramento,13.01255917,985,6,991,450,6,456,0.986842105,0,535,0,535,1,1
95831,67,Sacramento,6.995148352,111184,1471,112655,44301,1471,45772,0.967862449,0,66883,0,66883,1,1
95834,67,Sacramento,9.964077897,209193,2474,211667,91918,2474,94392,0.973790152,0,117275,0,117275,1,1
95835,67,Sacramento,8.879452855,124035,1504,125539,58805,1504,60309,0.975061765,0,65230,0,65230,1,1
95841,67,Sacramento,3.897765454,114136,1431,115567,44907,1431,46338,0.969118218,0,69229,0,69229,1,1
95842,67,Sacramento,3.971758053,103751,1384,105135,39119,1384,40503,0.965829692,0,64632,0,64632,1,1
95671,67,Sacramento,1.476818754,0,0,0,0,0,0,0,0,0,0,0,0,0
95919,115,Yuba,26.78775304,1,0,1,1,0,1,1,1,0,0,0,0,0
95922,115,Yuba,51.88119452,0,0,0,0,0,0,0,0,0,0,0,0,0
95935,115,Yuba,25.81079042,0,0,0,0,0,0,0,0,0,0,0,0,0
95692,115,Yuba,57.2241151,4508,283,4791,2639,283,2922,0.903148528,0,1869,0,1869,1,1
95903,115,Yuba,20.44254102,73,13,86,46,13,59,0.779661017,0,27,0,27,1,1
95918,115,Yuba,55.6878703,17,8,25,12,8,20,0.6,0,5,0,5,1,1
95901,115,Yuba,200.1995575,24429,812,25241,14166,812,14978,0.945787154,0,10263,0,10263,1,1
95977,115,Yuba,37.66085817,10,2,12,8,2,10,0.8,0,2,0,2,1,1
95925,115,Yuba,35.27988289,0,0,0,0,0,0,0,0,0,0,0,0,0
95961,115,Yuba,45.84781019,8270,243,8513,4572,243,4815,0.94953271,0,3698,0,3698,1,1
95962,115,Yuba,37.9506146,0,0,0,0,0,0,0,0,0,0,0,0,0
95920,21,Glenn,69.07903811,0,0,0,0,0,0,0,0,0,0,0,0,0
95943,21,Glenn,63.5875412,1,0,1,0,0,0,0,0,1,0,1,1,1
95963,21,Glenn,325.3486672,91,10,101,53,10,63,0.841269841,0,38,0,38,1,1
95939,21,Glenn,257.0438268,0,0,0,0,0,0,0,0,0,0,0,0,0
95951,21,Glenn,19.56917128,81,3,84,31,3,34,0.911764706,0,50,0,50,1,1
95988,21,Glenn,328.629714,14,1,15,8,1,9,0.888888889,0,6,0,6,1,1
95913,21,Glenn,17.35786635,0,0,0,0,0,0,0,0,0,0,0,0,0
95930,7,Butte,7.508228933,0,0,0,0,0,0,0,0,0,0,0,0,0
95973,7,Butte,300.1031749,53408,936,54344,37422,936,38358,0.975598311,0,15986,0,15986,1,1
95914,7,Butte,21.88921316,0,0,0,0,0,0,0,0,0,0,0,0,0
95942,7,Butte,69.15221989,0,1,1,0,1,1,0,0,0,0,0,0,0
95948,7,Butte,75.56635033,446,21,467,191,21,212,0.900943396,0,255,0,255,1,1
95966,7,Butte,170.1551517,943,88,1031,525,88,613,0.856443719,0,418,0,418,1,1
95969,7,Butte,50.69911758,165,12,177,89,12,101,0.881188119,0,76,0,76,1,1
95917,7,Butte,80.7030369,31,3,34,24,3,27,0.888888889,0,7,0,7,1,1
95972,7,Butte,1.083977932,0,0,0,0,0,0,0,0,0,0,0,0,0
95916,7,Butte,84.67447101,1,0,1,1,0,1,1,1,0,0,0,0,0
95941,7,Butte,35.43432568,0,0,0,0,0,0,0,0,0,0,0,0,0
95926,7,Butte,7.778324952,158633,2180,160813,107086,2180,109266,0.980048689,0,51547,0,51547,1,1
95928,7,Butte,145.3919241,215905,4411,220316,153828,4411,158239,0.972124445,0,62077,0,62077,1,1
95938,7,Butte,68.14946551,1012,36,1048,717,36,753,0.952191235,0,295,0,295,1,1
95954,7,Butte,126.8314876,18,0,18,10,0,10,1,1,8,0,8,1,1
95965,7,Butte,311.4260256,1404,101,1505,806,101,907,0.888643881,0,598,0,598,1,1
95968,7,Butte,1.798341519,31,1,32,21,1,22,0.954545455,0,10,0,10,1,1
95974,7,Butte,0.41681248,0,0,0,0,0,0,0,0,0,0,0,0,0
95978,7,Butte,0.037166765,0,0,0,0,0,0,0,0,0,0,0,0,0
95958,7,Butte,6.651737732,0,0,0,0,0,0,0,0,0,0,0,0,0
95929,7,Butte,0.007832893,0,0,0,0,0,0,0,0,0,0,0,0,0
95957,101,Sutter,93.00104097,9,2,11,9,2,11,0.818181818,0,0,0,0,0,0
95953,101,Sutter,116.1580697,1000,45,1045,626,45,671,0.932935917,0,374,0,374,1,1
95991,101,Sutter,41.1199395,34741,885,35626,21384,885,22269,0.960258656,0,13357,0,13357,1,1
95982,101,Sutter,42.57486191,371,21,392,242,21,263,0.920152091,0,129,0,129,1,1
95659,101,Sutter,45.92801405,342,15,357,175,15,190,0.921052632,0,167,0,167,1,1
95674,101,Sutter,31.86233477,103,3,106,66,3,69,0.956521739,0,37,0,37,1,1
95645,101,Sutter,123.8026115,266,13,279,73,13,86,0.848837209,0,193,0,193,1,1
95668,101,Sutter,64.98078888,429,20,449,265,20,285,0.929824561,0,164,0,164,1,1
95993,101,Sutter,84.28212903,23093,560,23653,13870,560,14430,0.961191961,0,9223,0,9223,1,1
95676,101,Sutter,1.263095475,0,0,0,0,0,0,0,0,0,0,0,0,0
